Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
18/04/2017;0,83;0,46;2;13;16;73;71;21;4;11;0,7
17/04/2017;0,84;0,83;2;12;15;66;65;20;4;9;1,37
16/04/2017;1,52;1,15;2;12;15;63;65;15;4;14;1,79
15/04/2017;0,83;0,78;1;10;12;73;73;20;4;8;0,85
14/04/2017;0,97;0,4;1;14;16;73;74;30;4;13;0,72
13/04/2017;0,75;0,47;3;15;19;74;76;25;4;19;0,86
12/04/2017;0,86;0,59;3;14;18;68;67;28;4;10;1,34
11/04/2017;0,6;0,22;1;11;13;88;94;29;3;7;0,65
10/04/2017;0,91;0,33;1;14;16;86;85;36;3;24;0,6
09/04/2017;1,18;0,65;2;14;17;81;78;29;4;13;1,39
08/04/2017;1,64;2,19;2;19;22;79;76;30;5;12;3,36
07/04/2017;1,09;0,79;3;18;22;67;70;29;4;11;1,35
06/04/2017;0,75;0,35;2;16;19;74;76;37;3;9;0,84
05/04/2017;0,68;0,18;1;9;11;80;80;23;3;7;0,41
04/04/2017;0,57;0,29;2;11;13;75;74;16;3;7;0,53
03/04/2017;1,55;0,96;5;13;22;67;63;20;4;15;1,62
02/04/2017;0,64;0,33;1;6;8;86;92;19;3;8;0,58
01/04/2017;0,72;0,3;1;6;7;87;85;14;3;8;0,52
31/03/2017;1,1;1,17;4;23;30;71;73;23;4;10;2,03
30/03/2017;1,28;2,37;2;14;17;89;85;18;4;7;2,9
29/03/2017;0,93;1,13;3;18;24;73;73;21;3;10;2,58
28/03/2017;1,05;1,09;2;16;19;75;77;16;3;10;4,05
27/03/2017;2,03;1,94;2;12;14;89;90;12;4;9;6,44
26/03/2017;2,03;1,63;1;9;11;77;76;10;5;29;4,06
25/03/2017;1,03;1,14;3;11;15;79;77;7;4;7;1,74
24/03/2017;1,11;1,08;3;16;20;66;67;12;;9;1,44
23/03/2017;1,24;1,76;2;10;13;78;81;7;4;;1,84
22/03/2017;1,56;1,36;2;12;15;74;;13;4;;1,83
21/03/2017;0,77;0,59;1;10;12;72;72;12;4;4;0,76
20/03/2017;1,13;0,99;2;18;21;60;61;34;4;14;1,28
19/03/2017;1,14;0,56;2;11;14;63;60;24;3;8;0,99
18/03/2017;1,06;0,54;2;16;19;63;67;26;3;5;0,98
17/03/2017;0,99;0,69;2;18;21;61;60;40;3;7;1,15
16/03/2017;1,76;3,04;6;28;36;64;62;34;4;12;4,19
15/03/2017;1,03;0,83;3;17;20;56;57;37;3;7;1,71
14/03/2017;0,68;0,29;2;15;18;62;65;36;2;3;0,48
13/03/2017;0,76;0,23;1;8;10;81;82;31;2;3;0,44
12/03/2017;0,78;0,3;1;5;7;85;85;21;3;4;0,33
11/03/2017;1,19;1,27;3;19;23;66;58;38;4;9;1,79
10/03/2017;0,95;1,76;13;34;53;28;28;41;3;12;2,47
09/03/2017;1,42;1,58;5;23;30;42;46;37;3;9;2,38
08/03/2017;1,58;1,23;3;17;22;54;56;25;3;9;2,34
07/03/2017;0,83;0,34;1;9;11;65;68;27;2;4;0,63
06/03/2017;0,77;0,51;1;8;10;78;73;31;2;3;0,86
05/03/2017;1,24;2,17;1;12;14;68;71;27;4;5;3,18
04/03/2017;0,95;0,69;1;8;10;77;80;13;4;4;1,33
03/03/2017;1,15;1,41;2;11;14;78;75;18;4;5;1,71
02/03/2017;1,48;1,89;10;23;38;47;43;28;4;11;3,16
01/03/2017;1,47;1,5;2;13;16;62;66;24;4;9;2,28
28/02/2017;0,98;0,55;1;8;10;74;75;16;4;8;0,96
27/02/2017;1,4;1,08;1;11;13;69;62;24;7;10;1,93
26/02/2017;0,93;1,15;3;19;23;50;52;25;4;15;1,58
25/02/2017;1,93;3,95;7;28;39;43;43;32;5;18;5,5
24/02/2017;0,79;0,46;2;16;19;66;67;20;3;9;0,89
23/02/2017;1,28;0,73;3;23;27;40;39;47;4;17;1,64
22/02/2017;1,46;1,65;6;21;30;42;40;31;4;19;2,84
21/02/2017;;;;;;;;21;;;
20/02/2017;1,03;0,9;2;17;20;56;57;25;3;7;1,73
19/02/2017;1,02;0,45;1;12;14;73;75;27;2;8;0,69
18/02/2017;1,1;0,6;2;15;18;58;56;25;3;8;1,58
17/02/2017;1,37;1,92;4;23;29;52;52;31;3;9;3
16/02/2017;1,28;1,94;2;18;21;61;64;25;3;7;3,16
15/02/2017;1,5;2,75;2;12;15;66;66;18;2;7;4,08
14/02/2017;1,39;1,98;1;10;12;70;68;12;3;7;3,01
13/02/2017;1,38;2,12;4;21;28;62;64;28;4;21;3,33
12/02/2017;3,78;5,19;4;20;26;52;49;32;4;14;7,83
11/02/2017;2,87;2,7;3;20;25;39;37;29;4;6;4,94
10/02/2017;1,21;1,69;2;18;22;58;61;19;3;7;2,54
09/02/2017;1,37;2,5;7;23;34;52;51;16;3;8;4,43
08/02/2017;0,66;0,35;1;9;11;78;83;19;2;5;0,94
07/02/2017;1;1,43;2;13;15;68;56;16;2;6;2,22
06/02/2017;1,34;6,82;26;39;79;36;48;21;3;7;8,59
05/02/2017;0,77;0,44;1;5;6;87;80;17;3;6;0,75
04/02/2017;1,17;3,81;2;21;24;57;63;19;4;6;3,46
03/02/2017;0,78;1,1;1;9;11;83;81;17;3;6;1,76
02/02/2017;1,16;1,3;2;13;15;74;74;15;3;7;2,36
01/02/2017;1,19;1,69;2;13;16;63;60;17;3;7;2,94
31/01/2017;1,07;3,4;2;14;17;58;61;14;3;9;3,29
30/01/2017;1,13;2,43;2;14;17;51;49;13;3;17;3,37
29/01/2017;1,37;2,14;1;7;9;66;64;12;2;11;3,44
28/01/2017;1,32;1,39;2;13;15;63;68;16;2;6;2,26
27/01/2017;1,47;2,59;2;14;17;69;66;20;3;7;7,76
26/01/2017;2,3;4,86;4;25;30;54;49;39;4;9;10,97
25/01/2017;2,21;4,16;3;23;28;42;43;21;2;5;3,72
24/01/2017;;;;;;;;27;;;
23/01/2017;1,08;0,26;1;12;14;71;71;22;2;6;0,58
22/01/2017;1,63;1,16;2;15;18;48;42;29;3;7;3,02
21/01/2017;1,81;1,21;5;28;36;29;29;36;4;9;2,31
20/01/2017;2,17;1,69;7;28;39;25;23;34;4;9;2,85
19/01/2017;5,21;4,76;8;40;52;19;23;36;3;6;8,22
18/01/2017;2,2;0,92;2;18;22;49;53;24;1;5;2,06
17/01/2017;1,16;0,34;2;12;15;65;65;13;1;13;0,65
16/01/2017;0,64;0,18;1;6;7;79;81;16;1;5;0,28
15/01/2017;0,59;0,16;1;5;6;82;81;17;1;5;0,26
14/01/2017;0,62;0,17;1;6;7;77;76;14;1;4;0,36
13/01/2017;0,59;0,24;1;6;8;80;81;22;1;5;0,41
12/01/2017;0,71;0,42;3;11;16;44;43;19;2;6;0,78
11/01/2017;0,53;0,18;3;10;15;64;67;9;1;5;0,33
10/01/2017;0,73;0,49;1;8;9;71;64;16;2;5;0,86
09/01/2017;1,56;1,97;6;27;36;35;36;22;2;11;3,41
08/01/2017;2,17;1,42;3;24;28;41;39;28;2;12;2,54
07/01/2017;1,4;1,01;4;24;30;33;33;33;2;10;1,58
06/01/2017;1,46;0,63;2;15;18;39;40;22;2;7;1,52
05/01/2017;2,02;3,53;4;25;31;31;28;24;;13;6,27
04/01/2017;1,35;0,89;5;24;32;19;18;30;;10;1,69
03/01/2017;1,31;1,56;7;25;36;19;19;33;;8;2,03
02/01/2017;1,72;3,26;7;23;34;38;42;23;;5;5,01
01/01/2017;1,68;3,24;2;12;15;37;39;19;;7;4,42
