Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
30/04/2017;0,15;0,2;0,2;0,03;3;23;28;0,24;9;3;0,52
29/04/2017;0,21;0,27;0,26;0,08;9;33;47;0,48;14;6;0,82
28/04/2017;0,13;0,26;0,26;0,17;18;40;67;0,6;17;9;1,45
27/04/2017;0,17;0,23;0,27;0,14;12;36;54;0,47;13;5;1,13
26/04/2017;0,34;0,26;0,22;0,04;4;29;31;0,25;8;2;0,76
25/04/2017;0,22;0,29;0,3;0,16;9;40;53;0,74;19;4;1,63
24/04/2017;0,18;0,29;0,3;0,2;17;40;65;0,88;25;13;2,03
23/04/2017;0,28;0,31;0,31;0,13;6;40;49;0,64;24;17;1,34
22/04/2017;0,27;0,25;0,24;0,08;3;32;37;0,45;19;11;0,84
21/04/2017;0,19;0,29;0,27;0,21;14;48;69;0,73;23;9;1,87
20/04/2017;0,2;0,21;0,21;0,08;12;30;41;0,33;13;2;0,98
19/04/2017;0,23;0,17;0,16;0,01;4;19;23;0,16;12;2;0,47
18/04/2017;0,17;0,23;0,23;0,1;16;32;52;0,52;21;8;0,9
17/04/2017;0,14;0,2;0,2;0,03;6;21;31;0,26;20;7;0,45
16/04/2017;0,17;0,19;0,19;0,03;4;17;23;0,23;12;3;0,43
15/04/2017;0,2;0,25;0,26;0,05;3;18;23;0,28;16;4;0,52
14/04/2017;0,3;0,25;0,24;0,05;3;23;27;0,28;22;7;0,6
13/04/2017;0,2;0,23;0,23;0,14;7;26;38;0,62;18;9;1,07
12/04/2017;0,21;0,25;0,26;0,15;10;33;48;0,66;23;10;1,66
11/04/2017;0,25;0,29;0,28;0,01;3;18;23;0,21;20;5;0,62
10/04/2017;0,23;0,26;0,28;0,04;5;23;30;0,27;38;12;0,71
09/04/2017;0,21;0,32;0,33;0,19;9;36;49;0,89;27;11;1,44
08/04/2017;0,16;0,31;0,3;0,33;11;53;70;1,35;25;9;2,49
07/04/2017;0,16;0,3;0,28;0,27;16;43;67;0,84;27;7;2,04
06/04/2017;0,29;0,2;0,19;0,1;3;19;24;0,39;20;2;0,6
05/04/2017;0,31;0,26;0,25;0,02;3;18;23;0,23;12;2;0,44
04/04/2017;0,19;0,2;0,21;0,05;7;24;35;0,32;12;4;0,88
03/04/2017;0,27;0,29;0,29;0,18;17;36;61;0,8;22;11;1,46
02/04/2017;0,22;0,2;0,19;0,02;2;17;21;0,17;14;3;0,32
01/04/2017;0,24;0,15;0,14;0,03;2;15;18;;10;3;0,38
31/03/2017;0,3;0,23;0,25;0,12;12;36;55;0,63;18;3;1,47
30/03/2017;0,18;0,25;0,27;0,37;13;51;72;1,33;17;3;2,19
29/03/2017;0,13;0,3;0,29;0,41;19;60;89;1,24;20;9;2,54
28/03/2017;0,21;0,26;0,25;0,22;9;40;53;0,79;11;3;1,42
27/03/2017;0,3;0,24;0,23;0,09;6;32;42;0,48;10;2;0,9
26/03/2017;0,32;0,22;0,22;0,01;5;24;31;0,27;6;2;0,67
25/03/2017;0,36;0,25;0,25;0,04;5;35;42;0,34;6;2;0,76
24/03/2017;0,24;0,29;0,28;0,23;18;39;66;0,59;15;11;1,45
23/03/2017;0,21;0,21;;0,15;10;42;58;0,58;8;3;1,15
22/03/2017;0,29;0,23;0,24;0,05;4;32;38;0,33;9;4;0,76
21/03/2017;0,33;0,25;0,26;0,17;8;43;55;0,73;15;4;1,44
20/03/2017;0,34;0,28;0,27;0,06;4;28;35;0,36;21;3;0,76
19/03/2017;0,21;0,26;0,26;0,09;7;22;33;0,44;18;6;0,74
18/03/2017;0,35;0,23;0,24;0,03;3;21;25;0,28;16;2;0,64
17/03/2017;0,56;0,33;0,34;0,11;8;25;38;0,53;25;4;1,12
16/03/2017;0,29;0,29;0,3;0,43;19;61;91;1,88;21;3;3,24
15/03/2017;0,52;0,33;0,42;0,21;9;37;51;0,79;27;3;1,91
14/03/2017;0,52;0,47;0,37;0,09;4;20;26;0,39;19;2;0,68
13/03/2017;0,35;0,29;0,24;0,02;2;19;22;0,17;18;2;0,41
12/03/2017;0,25;0,15;0,16;0;1;11;13;0,1;15;1;0,24
11/03/2017;0,21;0,29;0,34;0,32;20;37;68;1,36;27;9;2,41
10/03/2017;0,2;0,5;0,52;1,29;68;70;174;5,02;42;11;8,95
09/03/2017;0,43;0,34;0,28;0,27;12;40;58;1,09;24;3;1,84
08/03/2017;0,25;0,23;0,23;0,09;10;26;41;0,48;16;1;0,94
07/03/2017;0,23;0,27;0,29;0,31;14;36;57;0,8;32;2;1,52
06/03/2017;0,28;0,31;0,33;0,03;7;30;41;0,3;27;1;0,89
05/03/2017;0,35;0,32;0,3;0,03;4;23;29;0,19;20;1;0,44
04/03/2017;0,31;0,23;0,21;0,05;5;30;38;0,27;10;1;0,55
03/03/2017;0,31;0,26;0,27;0,09;10;30;45;0,47;13;2;0,87
02/03/2017;0,21;0,34;0,36;0,41;34;47;98;1,54;20;7;3,04
01/03/2017;0,24;0,28;0,25;0,21;20;50;81;0,92;18;7;2,12
28/02/2017;0,32;0,21;0,21;0,05;4;32;38;0,35;12;2;0,87
27/02/2017;0,3;0,26;0,28;0,1;9;35;48;0,52;19;4;0,95
26/02/2017;0,23;0,39;0,44;0,15;18;34;61;0,69;27;12;1,07
25/02/2017;0,2;0,42;0,36;0,24;19;49;77;0,92;27;11;1,86
24/02/2017;0,35;0,24;0,23;0,09;6;33;42;0,3;16;3;1,31
23/02/2017;0,34;0,42;0,44;0,19;11;41;57;0,72;40;6;1,76
22/02/2017;0,11;0,33;0,32;0,37;23;47;83;0,93;28;7;2,58
21/02/2017;;0,29;0,29;;20;44;74;;21;5;
20/02/2017;;0,33;0,32;;14;49;71;;25;3;
19/02/2017;;0,28;0,32;;3;25;30;;16;2;
18/02/2017;0,11;0,39;0,37;0,21;19;34;63;0,68;23;7;1,75
17/02/2017;0,04;0,39;0,38;0,67;39;61;120;1,73;28;10;4,09
16/02/2017;0,07;0,3;0,29;0,33;26;55;94;1,38;22;5;2,55
15/02/2017;0,13;0,26;0,26;0,24;16;47;71;1;13;3;1,58
14/02/2017;0,11;0,28;0,29;0,23;16;53;77;0,89;13;6;1,63
13/02/2017;0,07;0,24;0,22;0,09;9;32;45;0,49;21;2;0,85
12/02/2017;0,13;0,24;0,26;0,01;4;21;28;0,18;20;2;0,53
11/02/2017;0,16;0,38;0,4;0,29;35;44;98;0,39;30;9;2,34
10/02/2017;0,11;0,31;0,29;0,29;27;57;98;1,13;19;6;2,14
09/02/2017;0,07;0,27;0,26;0,25;20;53;83;0,9;18;5;1,86
08/02/2017;0,05;0,14;0,13;0,01;3;30;35;0,21;11;2;0,63
07/02/2017;0,05;0,24;0,29;0,11;10;41;56;0,62;14;1;1,3
06/02/2017;0,02;0,36;0,31;0,34;35;53;107;1,51;16;3;2,51
05/02/2017;0,01;0,13;0,16;0;1;8;10;0,09;9;1;0,13
04/02/2017;0,06;0,27;0,25;0,07;7;35;47;0,4;13;1;0,71
03/02/2017;0,02;0,2;0,2;0,01;4;20;26;0,15;9;1;0,42
02/02/2017;0,02;0,18;0,18;0,01;3;18;23;0,21;5;1;0,41
01/02/2017;0,09;0,22;0,24;0,18;13;35;54;0,88;12;2;1,82
31/01/2017;0,07;0,23;0,22;0,18;16;39;63;0,81;12;2;1,62
30/01/2017;0,09;0,3;0,33;0,18;25;44;82;0,87;12;2;2,05
29/01/2017;0,13;0,28;0,29;0,11;9;39;53;0,49;9;4;0,81
28/01/2017;0,14;0,31;0,28;0,14;17;47;72;0,68;16;6;1,29
27/01/2017;0,18;0,27;0,28;0,08;12;39;57;0,45;13;4;1,07
26/01/2017;0,21;0,3;0,3;0,23;18;49;77;0,89;21;7;2,05
