Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3);O3 (µg/m3)
06/03/2015;;0,5;0,46;;42;63;128;;37;16;;
05/03/2015;;0,28;0,26;;14;37;58;;18;5;;
04/03/2015;;0,24;0,24;;4;22;28;;11;4;;
03/03/2015;;0,29;0,31;;17;41;67;;16;5;;
02/03/2015;0,42;0,41;0,4;0,21;17;40;67;1,45;15;3;2,09;
01/03/2015;0,33;0,35;0,42;0,37;26;36;77;2,17;15;5;2,59;
28/02/2015;0,65;0,51;0,44;0,68;53;64;146;3,4;21;8;4,03;
27/02/2015;0,2;0,24;0,22;0,06;4;25;32;0,54;15;4;0,83;
26/02/2015;0,18;0,23;0,23;0,13;7;32;42;0,98;8;4;1,23;
25/02/2015;0,18;0,24;0,24;0,05;3;23;28;0,66;;5;1;
24/02/2015;0,19;0,24;0,22;0,04;4;24;30;0,56;11;4;1,03;
23/02/2015;0,23;0,28;0,32;0,22;12;41;59;1,51;14;6;1,69;
22/02/2015;0,21;0,3;0,27;0,11;8;36;48;0,76;12;5;1,04;
21/02/2015;0,16;0,23;0,23;0,01;3;16;21;0,29;11;4;0,56;
20/02/2015;0,36;0,36;0,4;0,47;25;51;89;2,34;19;12;2,68;
19/02/2015;0,5;0,42;0,4;0,8;39;56;116;3,68;25;13;4,02;
18/02/2015;0,42;0,35;0,36;0,66;25;47;85;3,13;18;6;3,21;
17/02/2015;0,23;0,3;0,27;0,01;3;16;21;0,32;17;4;0,55;
16/02/2015;0,2;0,24;0,25;0,14;6;32;40;1;12;5;1,28;
15/02/2015;0,25;0,31;0,32;0,16;8;38;50;1,17;11;4;1,44;
14/02/2015;0,29;0,32;0,31;0,25;13;53;72;1,52;11;8;1,71;
13/02/2015;0,39;0,31;0,32;0,34;15;41;64;1,79;;5;2,41;
12/02/2015;0,5;0,35;0,36;0,62;19;56;86;2,95;;5;3,76;
11/02/2015;0,77;0,45;0,47;1,22;40;70;132;5,29;;18;5,9;
10/02/2015;0,87;0,46;0,45;1,11;48;70;144;4,74;34;17;5,51;
09/02/2015;0,39;0,29;0,3;0,22;13;39;59;1,31;27;8;1,81;
