Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
19/01/2021;;;2;11;8;;;7;;0;
18/01/2021;;;16;60;37;;;16;;2;
17/01/2021;;;1;16;15;;;7;;6;
16/01/2021;;;4;29;23;;;14;;8;
15/01/2021;;;2;16;13;;;9;;1;
14/01/2021;;;2;19;16;;;9;;6;
13/01/2021;;;30;83;38;;;17;;6;
12/01/2021;;;23;70;35;;;17;;7;
11/01/2021;;;3;21;17;;;9;;5;
10/01/2021;;;1;9;7;;;9;;4;
09/01/2021;;;5;30;23;;;13;;0;
08/01/2021;;;21;68;37;;;16;;5;
07/01/2021;;;25;71;33;;;11;;4;
06/01/2021;;;6;36;28;;;11;;8;
05/01/2021;;;14;58;36;;;9;;5;
04/01/2021;;;1;9;8;;;3;;1;
03/01/2021;;;0;7;7;;;3;;3;
02/01/2021;;;0;7;6;;;6;;4;
01/01/2021;;;0;4;4;;;4;;4;
